id,prompt_example,prompt_qual,task_description,complexity,bad_prompt,good_prompt,expected_answer,prompting_techniques,prompt_type,notes,flesch_reading_ease,flesch_kincaid_grade,gunning_fog,smog_index,automated_readability_index,coleman_liau_index,linsear_write_formula,dale_chall_score,spache_readability
243,Tell me about following directions.,bad,Retrieve the essential details about following directions from this material,low,,"Here is some information about following directions:

[Insert detailed text about following directions here, including aspects like active listening, clarification, potential obstacles, and importance of context].

Based on the provided text, extract the key elements that contribute to effectively following directions. Focus on actionable steps and potential challenges.","The ideal answer would summarize the provided text, highlighting key aspects of following directions. This would include elements such as:

*   Active listening and comprehension of instructions.
*   Seeking clarification when instructions are unclear.
*   Considering the context and purpose of the directions.
*   Anticipating potential obstacles or ambiguities.
*   Importance of accurate execution and feedback.",['CONTEXTUAL_PROMPTING'],DATA_EXTRACTION,,32.56,10.0,10.0,0.0,10.3,13.08,3.5,7.04,3.26
244,"Here is some information about following directions:

[Insert detailed text about following directions here, including aspects like active listening, clarification, potential obstacles, and importance of context].

Based on the provided text, extract the key elements that contribute to effectively following directions. Focus on actionable steps and potential challenges.",good,Retrieve the essential details about following directions from this material,low,Tell me about following directions.,,"The ideal answer would summarize the provided text, highlighting key aspects of following directions. This would include elements such as:

*   Active listening and comprehension of instructions.
*   Seeking clarification when instructions are unclear.
*   Considering the context and purpose of the directions.
*   Anticipating potential obstacles or ambiguities.
*   Importance of accurate execution and feedback.",['CONTEXTUAL_PROMPTING'],DATA_EXTRACTION,,12.94,15.4,18.07,17.9,18.3,20.12,14.666666666666666,12.33,6.86
245,Explain String Theory.,bad,Distill the essential information about advanced mathematical concepts,high,,"First, explain the core problem that String Theory attempts to solve in theoretical physics. Then, explain the fundamental concept of replacing point particles with strings. Finally, describe one major challenge or unresolved issue within String Theory.","The core problem String Theory attempts to solve is the incompatibility between General Relativity (gravity) and Quantum Mechanics. It replaces point particles with one-dimensional strings, whose different vibrational modes correspond to different particles. A major challenge is the lack of experimental verification and the vast landscape of possible solutions.",['STEP_BACK_PROMPTING'],SUMMARIZATION,,59.97,5.6,1.2,0.0,11.5,11.15,0.5,9.05,4.13
246,"First, explain the core problem that String Theory attempts to solve in theoretical physics. Then, explain the fundamental concept of replacing point particles with strings. Finally, describe one major challenge or unresolved issue within String Theory.",good,Distill the essential information about advanced mathematical concepts,high,Explain String Theory.,,"The core problem String Theory attempts to solve is the incompatibility between General Relativity (gravity) and Quantum Mechanics. It replaces point particles with one-dimensional strings, whose different vibrational modes correspond to different particles. A major challenge is the lack of experimental verification and the vast landscape of possible solutions.",['STEP_BACK_PROMPTING'],SUMMARIZATION,,42.38,10.3,10.36,11.2,13.1,15.99,7.0,11.25,5.64
247,Tell me about product development.,bad,Identify and list important points about product development,medium,,"You are a product development expert. I need you to outline the key stages and considerations in product development, from ideation to launch. Provide a structured response, including common pitfalls at each stage and strategies to avoid them. Use code examples to illustrate how agile methodologies can be implemented in software product development. Focus on software product development.","The response should detail each stage of product development (ideation, research, prototyping, testing, launch, iteration). For each stage, it should outline key activities, potential problems, and mitigation strategies. The answer should include code snippets demonstrating agile development practices, such as using version control (Git), writing unit tests (e.g., using pytest in Python), or implementing continuous integration/continuous deployment (CI/CD) pipelines (e.g., using Jenkins or GitHub Actions). The response should emphasize the iterative nature of product development and the importance of user feedback.","['CONTEXTUAL_PROMPTING', 'CODE_PROMPTING']",DATA_EXTRACTION,,32.56,10.0,10.0,0.0,9.3,11.92,2.5,10.2,4.98
248,"You are a product development expert. I need you to outline the key stages and considerations in product development, from ideation to launch. Provide a structured response, including common pitfalls at each stage and strategies to avoid them. Use code examples to illustrate how agile methodologies can be implemented in software product development. Focus on software product development.",good,Identify and list important points about product development,medium,Tell me about product development.,,"The response should detail each stage of product development (ideation, research, prototyping, testing, launch, iteration). For each stage, it should outline key activities, potential problems, and mitigation strategies. The answer should include code snippets demonstrating agile development practices, such as using version control (Git), writing unit tests (e.g., using pytest in Python), or implementing continuous integration/continuous deployment (CI/CD) pipelines (e.g., using Jenkins or GitHub Actions). The response should emphasize the iterative nature of product development and the importance of user feedback.","['CONTEXTUAL_PROMPTING', 'CODE_PROMPTING']",DATA_EXTRACTION,,34.32,11.4,10.85,12.0,11.4,14.13,7.199999999999999,10.47,5.59
249,Write a program to solve a combinatorial optimization problem.,bad,Create a program for combinatorial optimization,high,,"I need a Python program to solve the Traveling Salesperson Problem (TSP) using dynamic programming. The program should take a distance matrix as input and return the shortest possible route that visits each city exactly once and returns to the starting city. Provide the code with detailed comments explaining each step. Here's an example distance matrix:

```python
distance_matrix = [
    [0, 10, 15, 20],
    [10, 0, 35, 25],
    [15, 35, 0, 30],
    [20, 25, 30, 0]
]
```

Also, explain the time and space complexity of the solution.","The response should be a complete, runnable Python program that implements the dynamic programming solution for the TSP. The code should be well-commented, explaining the logic behind each step, including the initialization of the DP table, the iterative calculation of minimum costs, and the reconstruction of the optimal path. The response should also include a clear explanation of the time and space complexity of the algorithm (O(n^2 * 2^n) time and O(n * 2^n) space). The program should correctly solve the example distance matrix provided and be adaptable to other distance matrices.","['CODE_PROMPTING', 'ONE_SHOT_FEW_SHOT']",PROGRAMMING_CODE_GENERATION,,11.58,13.9,12.49,0.0,11.3,15.11,5.5,12.86,5.93
250,"I need a Python program to solve the Traveling Salesperson Problem (TSP) using dynamic programming. The program should take a distance matrix as input and return the shortest possible route that visits each city exactly once and returns to the starting city. Provide the code with detailed comments explaining each step. Here's an example distance matrix:

```python
distance_matrix = [
    [0, 10, 15, 20],
    [10, 0, 35, 25],
    [15, 35, 0, 30],
    [20, 25, 30, 0]
]
```

Also, explain the time and space complexity of the solution.",good,Create a program for combinatorial optimization,high,Write a program to solve a combinatorial optimization problem.,,"The response should be a complete, runnable Python program that implements the dynamic programming solution for the TSP. The code should be well-commented, explaining the logic behind each step, including the initialization of the DP table, the iterative calculation of minimum costs, and the reconstruction of the optimal path. The response should also include a clear explanation of the time and space complexity of the algorithm (O(n^2 * 2^n) time and O(n * 2^n) space). The program should correctly solve the example distance matrix provided and be adaptable to other distance matrices.","['CODE_PROMPTING', 'ONE_SHOT_FEW_SHOT']",PROGRAMMING_CODE_GENERATION,,50.16,11.5,13.16,12.6,13.3,9.69,13.75,11.26,6.26
251,Explain the code for seasons of the year.,bad,Break down the functionality of seasons of the year code,low,,"You are an expert software engineer. Explain the following Python code, which determines the season of the year based on the month number (1-12). Provide a detailed explanation of each part of the code, including the inputs, outputs, and any conditional logic used. Use code comments to explain each step.

```python
def get_season(month):
    if month in [12, 1, 2]:
        return ""Winter""
    elif month in [3, 4, 5]:
        return ""Spring""
    elif month in [6, 7, 8]:
        return ""Summer""
    elif month in [9, 10, 11]:
        return ""Autumn""
    else:
        return ""Invalid Month""
```","The response should provide a detailed explanation of the Python code provided. It should explain that the function `get_season(month)` takes an integer representing the month as input. It should then explain the conditional logic, where `if month in [12, 1, 2]` checks if the month is December, January, or February, and if so, returns ""Winter"". Similar explanations should be provided for Spring, Summer, and Autumn. Finally, it should explain that if the month is not within the range of 1-12, the function returns ""Invalid Month"". The explanation should also include the use of code comments to explain each step.",['CODE_PROMPTING'],CODE_EXPLANATION,,88.74,2.9,3.2,0.0,2.6,4.31,3.0,7.98,3.04
252,"You are an expert software engineer. Explain the following Python code, which determines the season of the year based on the month number (1-12). Provide a detailed explanation of each part of the code, including the inputs, outputs, and any conditional logic used. Use code comments to explain each step.

```python
def get_season(month):
    if month in [12, 1, 2]:
        return ""Winter""
    elif month in [3, 4, 5]:
        return ""Spring""
    elif month in [6, 7, 8]:
        return ""Summer""
    elif month in [9, 10, 11]:
        return ""Autumn""
    else:
        return ""Invalid Month""
```",good,Break down the functionality of seasons of the year code,low,Explain the code for seasons of the year.,,"The response should provide a detailed explanation of the Python code provided. It should explain that the function `get_season(month)` takes an integer representing the month as input. It should then explain the conditional logic, where `if month in [12, 1, 2]` checks if the month is December, January, or February, and if so, returns ""Winter"". Similar explanations should be provided for Spring, Summer, and Autumn. Finally, it should explain that if the month is not within the range of 1-12, the function returns ""Invalid Month"". The explanation should also include the use of code comments to explain each step.",['CODE_PROMPTING'],CODE_EXPLANATION,,61.87,9.1,9.37,10.4,11.1,8.23,10.6,10.02,4.8
253,Tell me about personalized genomics.,bad,Answer questions about personalized genomics,high,,"You are an expert in personalized genomics. Please explain how personalized genomics can be used to predict an individual's risk of developing a specific disease, such as type 2 diabetes. Detail the steps involved, from genetic data collection and analysis to risk prediction and personalized recommendations. Use chain of thought reasoning to explain each step clearly.","Personalized genomics uses an individual's genetic information to predict disease risk and tailor healthcare. The process involves several steps:

1.  **Genetic Data Collection:** Obtaining a DNA sample (e.g., saliva, blood).
2.  **DNA Sequencing/Genotyping:** Analyzing the DNA to identify genetic variations (SNPs, etc.).
3.  **Data Analysis:** Comparing the individual's genetic data to population-based studies and databases to identify risk-associated variants.
4.  **Risk Prediction:** Calculating the individual's risk of developing a specific disease based on their genetic profile and other factors (lifestyle, environment).
5.  **Personalized Recommendations:** Providing tailored recommendations for prevention, screening, or treatment based on the individual's risk profile. For example, someone with a high genetic risk for type 2 diabetes might be advised to adopt a healthier diet and exercise regimen, and undergo more frequent blood sugar screenings.","['ROLE_PROMPTING', 'CHAIN_OF_THOUGHT']",QUESTION_ANSWERING,,15.64,12.3,18.0,0.0,11.2,14.24,3.5,10.2,4.98
254,"You are an expert in personalized genomics. Please explain how personalized genomics can be used to predict an individual's risk of developing a specific disease, such as type 2 diabetes. Detail the steps involved, from genetic data collection and analysis to risk prediction and personalized recommendations. Use chain of thought reasoning to explain each step clearly.",good,Answer questions about personalized genomics,high,Tell me about personalized genomics.,,"Personalized genomics uses an individual's genetic information to predict disease risk and tailor healthcare. The process involves several steps:

1.  **Genetic Data Collection:** Obtaining a DNA sample (e.g., saliva, blood).
2.  **DNA Sequencing/Genotyping:** Analyzing the DNA to identify genetic variations (SNPs, etc.).
3.  **Data Analysis:** Comparing the individual's genetic data to population-based studies and databases to identify risk-associated variants.
4.  **Risk Prediction:** Calculating the individual's risk of developing a specific disease based on their genetic profile and other factors (lifestyle, environment).
5.  **Personalized Recommendations:** Providing tailored recommendations for prevention, screening, or treatment based on the individual's risk profile. For example, someone with a high genetic risk for type 2 diabetes might be advised to adopt a healthier diet and exercise regimen, and undergo more frequent blood sugar screenings.","['ROLE_PROMPTING', 'CHAIN_OF_THOUGHT']",QUESTION_ANSWERING,,31.89,12.3,14.17,14.2,12.1,14.03,10.75,10.82,5.73
255,Explain physical chemistry.,bad,Create a guide for physical chemistry,medium,,"You are a physical chemistry professor. I need a study guide for physical chemistry. First, define physical chemistry and its main branches. Then, for each branch, provide a brief overview of the key concepts, equations, and experimental techniques. Use a chain of thought approach to break down complex topics into simpler steps. Include examples where appropriate to illustrate the concepts. The guide should cover thermodynamics, kinetics, quantum mechanics, statistical mechanics, and spectroscopy. Finally, suggest some textbooks and online resources for further study.","The expected answer is a well-structured study guide for physical chemistry. It should start with a clear definition of physical chemistry and its main branches (thermodynamics, kinetics, quantum mechanics, statistical mechanics, and spectroscopy). For each branch, the guide should provide a concise overview of key concepts, relevant equations, and common experimental techniques. The explanation should be clear, step-by-step, and include examples to aid understanding. The guide should conclude with a list of recommended textbooks and online resources for further learning.","['CHAIN_OF_THOUGHT', 'CONTEXTUAL_PROMPTING']",INSTRUCTIONAL,,-24.64,17.4,27.87,0.0,19.3,20.83,2.5,14.31,7.0
256,"You are a physical chemistry professor. I need a study guide for physical chemistry. First, define physical chemistry and its main branches. Then, for each branch, provide a brief overview of the key concepts, equations, and experimental techniques. Use a chain of thought approach to break down complex topics into simpler steps. Include examples where appropriate to illustrate the concepts. The guide should cover thermodynamics, kinetics, quantum mechanics, statistical mechanics, and spectroscopy. Finally, suggest some textbooks and online resources for further study.",good,Create a guide for physical chemistry,medium,Explain physical chemistry.,,"The expected answer is a well-structured study guide for physical chemistry. It should start with a clear definition of physical chemistry and its main branches (thermodynamics, kinetics, quantum mechanics, statistical mechanics, and spectroscopy). For each branch, the guide should provide a concise overview of key concepts, relevant equations, and common experimental techniques. The explanation should be clear, step-by-step, and include examples to aid understanding. The guide should conclude with a list of recommended textbooks and online resources for further learning.","['CHAIN_OF_THOUGHT', 'CONTEXTUAL_PROMPTING']",INSTRUCTIONAL,,35.64,10.8,11.92,12.6,12.0,14.82,6.875,10.31,5.33
257,Tell me about finger games.,bad,Extract key information from this finger games text,low,,"Here are some examples of finger games and their descriptions:

Game: ""Itsy Bitsy Spider""
Description: A classic game where you move your fingers to mimic a spider climbing up and down.

Game: ""This Little Piggy""
Description: A game where you touch each of a baby's toes while reciting a rhyme.

Now, describe the finger game ""Eensy Weensy Spider"".","Game: ""Eensy Weensy Spider""
Description: A classic game where you move your fingers to mimic a spider climbing up and down.",['ONE_SHOT_FEW_SHOT'],DATA_EXTRACTION,,83.32,2.9,2.0,0.0,2.7,3.8,1.5,7.04,1.54
258,"Here are some examples of finger games and their descriptions:

Game: ""Itsy Bitsy Spider""
Description: A classic game where you move your fingers to mimic a spider climbing up and down.

Game: ""This Little Piggy""
Description: A game where you touch each of a baby's toes while reciting a rhyme.

Now, describe the finger game ""Eensy Weensy Spider"".",good,Extract key information from this finger games text,low,Tell me about finger games.,,"Game: ""Eensy Weensy Spider""
Description: A classic game where you move your fingers to mimic a spider climbing up and down.",['ONE_SHOT_FEW_SHOT'],DATA_EXTRACTION,,68.81,8.5,10.48,10.5,11.6,9.92,11.333333333333334,8.95,5.34
259,What is game theory?,bad,Act as an expert in advanced game theory and provide insights,high,,"You are a world-renowned expert in game theory, specializing in non-cooperative games and evolutionary game theory. Explain the core principles of game theory, including key concepts like Nash equilibrium, Prisoner's Dilemma, and evolutionary stable strategies. Provide examples of how these concepts are applied in economics, biology, and political science. Focus on the mathematical foundations and assumptions underlying these models. Your explanation should be detailed and suitable for someone with a strong mathematical background.","The response should provide a comprehensive overview of game theory, defining its core principles and explaining key concepts such as Nash equilibrium (including its mathematical definition and limitations), the Prisoner's Dilemma (with a payoff matrix and explanation of the paradox), and evolutionary stable strategies (ESS, including the replicator equation and its applications). The explanation should include examples from economics (e.g., oligopoly models), biology (e.g., animal behavior), and political science (e.g., voting strategies). The response should emphasize the mathematical foundations and assumptions underlying these models, such as rationality, common knowledge, and the nature of payoffs. It should also discuss the limitations of game theory and potential extensions.","['ROLE_PROMPTING', 'SYSTEM_PROMPTING']",ROLE_PLAYING,,92.8,1.3,1.6,0.0,0.6,0.0,1.0,7.78,3.55
260,"You are a world-renowned expert in game theory, specializing in non-cooperative games and evolutionary game theory. Explain the core principles of game theory, including key concepts like Nash equilibrium, Prisoner's Dilemma, and evolutionary stable strategies. Provide examples of how these concepts are applied in economics, biology, and political science. Focus on the mathematical foundations and assumptions underlying these models. Your explanation should be detailed and suitable for someone with a strong mathematical background.",good,Act as an expert in advanced game theory and provide insights,high,What is game theory?,,"The response should provide a comprehensive overview of game theory, defining its core principles and explaining key concepts such as Nash equilibrium (including its mathematical definition and limitations), the Prisoner's Dilemma (with a payoff matrix and explanation of the paradox), and evolutionary stable strategies (ESS, including the replicator equation and its applications). The explanation should include examples from economics (e.g., oligopoly models), biology (e.g., animal behavior), and political science (e.g., voting strategies). The response should emphasize the mathematical foundations and assumptions underlying these models, such as rationality, common knowledge, and the nature of payoffs. It should also discuss the limitations of game theory and potential extensions.","['ROLE_PROMPTING', 'SYSTEM_PROMPTING']",ROLE_PLAYING,,14.36,14.9,16.25,14.8,15.9,17.97,11.5,11.5,6.31
261,Tell me about advanced AI.,bad,Have a conversation about advanced artificial intelligence,high,,"You are an expert in artificial intelligence. Please provide a detailed overview of the current state of advanced AI, including specific examples of its applications in fields like medicine, finance, and autonomous systems. Also, discuss the potential ethical implications and future challenges associated with its development and deployment. Consider the perspectives of researchers, policymakers, and the general public.","The ideal response would be a comprehensive overview of advanced AI, covering its current applications with specific examples (e.g., AI-driven diagnostics in medicine, algorithmic trading in finance, and self-driving cars). It should also delve into the ethical considerations, such as bias in algorithms, job displacement, and the potential for misuse. Furthermore, it should address the future challenges, including the need for explainable AI, robust security measures, and responsible AI governance. The response should demonstrate an understanding of the different perspectives involved and provide a balanced assessment of the opportunities and risks associated with advanced AI.",['CONTEXTUAL_PROMPTING'],CONVERSATIONAL,,83.32,2.9,2.0,0.0,1.8,2.64,1.5,10.2,3.26
262,"You are an expert in artificial intelligence. Please provide a detailed overview of the current state of advanced AI, including specific examples of its applications in fields like medicine, finance, and autonomous systems. Also, discuss the potential ethical implications and future challenges associated with its development and deployment. Consider the perspectives of researchers, policymakers, and the general public.",good,Have a conversation about advanced artificial intelligence,high,Tell me about advanced AI.,,"The ideal response would be a comprehensive overview of advanced AI, covering its current applications with specific examples (e.g., AI-driven diagnostics in medicine, algorithmic trading in finance, and self-driving cars). It should also delve into the ethical considerations, such as bias in algorithms, job displacement, and the potential for misuse. Furthermore, it should address the future challenges, including the need for explainable AI, robust security measures, and responsible AI governance. The response should demonstrate an understanding of the different perspectives involved and provide a balanced assessment of the opportunities and risks associated with advanced AI.",['CONTEXTUAL_PROMPTING'],CONVERSATIONAL,,14.46,14.8,18.9,16.2,15.4,17.62,12.5,12.52,7.04
263,Tell me about loop quantum gravity.,bad,Retrieve the essential details about loop quantum gravity from this material,high,,"You are an expert in theoretical physics. Please provide a detailed explanation of loop quantum gravity (LQG). Your explanation should cover the following aspects:

1.  **Core Principles:** Explain the fundamental principles of LQG, including the quantization of spacetime, the role of spin networks and spin foams, and the concept of background independence.
2.  **Mathematical Formalism:** Briefly describe the mathematical framework of LQG, including the use of Ashtekar variables and the Hamiltonian constraint.
3.  **Key Predictions and Implications:** Discuss the key predictions and implications of LQG, such as the quantization of area and volume, and its potential implications for black hole physics and cosmology.
4.  **Strengths and Weaknesses:** Analyze the strengths and weaknesses of LQG as a theory of quantum gravity, including its successes in quantizing geometry and its challenges in making testable predictions.
5.  **Comparison to String Theory:** Compare and contrast LQG with string theory, highlighting their similarities and differences in terms of their fundamental principles, mathematical frameworks, and predictions.

Structure your response in a clear and organized manner, using headings and subheadings to improve readability. Aim for a comprehensive and insightful overview of LQG that is accessible to someone with a basic understanding of physics.","The ideal answer would be a comprehensive overview of loop quantum gravity, covering its core principles (quantization of spacetime, spin networks, background independence), mathematical formalism (Ashtekar variables, Hamiltonian constraint), key predictions (quantization of area/volume, implications for black holes/cosmology), strengths and weaknesses (successes in quantizing geometry, challenges in testable predictions), and a comparison to string theory. The response should be well-structured, detailed, and accessible to someone with a basic physics background.",['CODE_PROMPTING'],DATA_EXTRACTION,,56.93,6.8,9.07,0.0,5.1,7.18,3.0,9.2,4.55
264,"You are an expert in theoretical physics. Please provide a detailed explanation of loop quantum gravity (LQG). Your explanation should cover the following aspects:

1.  **Core Principles:** Explain the fundamental principles of LQG, including the quantization of spacetime, the role of spin networks and spin foams, and the concept of background independence.
2.  **Mathematical Formalism:** Briefly describe the mathematical framework of LQG, including the use of Ashtekar variables and the Hamiltonian constraint.
3.  **Key Predictions and Implications:** Discuss the key predictions and implications of LQG, such as the quantization of area and volume, and its potential implications for black hole physics and cosmology.
4.  **Strengths and Weaknesses:** Analyze the strengths and weaknesses of LQG as a theory of quantum gravity, including its successes in quantizing geometry and its challenges in making testable predictions.
5.  **Comparison to String Theory:** Compare and contrast LQG with string theory, highlighting their similarities and differences in terms of their fundamental principles, mathematical frameworks, and predictions.

Structure your response in a clear and organized manner, using headings and subheadings to improve readability. Aim for a comprehensive and insightful overview of LQG that is accessible to someone with a basic understanding of physics.",good,Retrieve the essential details about loop quantum gravity from this material,high,Tell me about loop quantum gravity.,,"The ideal answer would be a comprehensive overview of loop quantum gravity, covering its core principles (quantization of spacetime, spin networks, background independence), mathematical formalism (Ashtekar variables, Hamiltonian constraint), key predictions (quantization of area/volume, implications for black holes/cosmology), strengths and weaknesses (successes in quantizing geometry, challenges in testable predictions), and a comparison to string theory. The response should be well-structured, detailed, and accessible to someone with a basic physics background.",['CODE_PROMPTING'],DATA_EXTRACTION,,26.2,14.5,14.98,16.2,16.8,16.13,12.5,10.33,6.15
265,Write a poem about being prepared for disasters.,bad,Create a poem inspired by disaster preparedness,medium,,"I want you to write a poem about disaster preparedness. Here are a few examples of poems about preparedness:

Example 1:
The storm clouds gather, dark and deep,
A warning whispered while we sleep.
But we are ready, strong and bold,
A plan in place, a story told.
With water stored and kits in hand,
We face the chaos, make our stand.
Preparedness our guiding light,
To weather darkness, hold on tight.

Example 2:
The earth may shake, the fires may roar,
But fear not, we've prepared before.
A meeting place, a contact list,
Essentials packed, we won't be missed.
From first aid skills to knowing how,
To help our neighbors here and now.
Preparedness a shield so strong,
Protecting us where we belong.

Now, write a new poem about disaster preparedness, focusing on the importance of community and resilience.","The ideal output would be a poem with a similar structure and tone to the examples provided, but with original content. The poem should emphasize the importance of community involvement and resilience in the face of disasters. It should use evocative language and imagery to convey the message of preparedness in an engaging and memorable way.",['ONE_SHOT_FEW_SHOT'],CREATIVE_WRITING,,46.44,8.8,8.2,0.0,6.7,9.35,4.0,7.98,4.12
266,"I want you to write a poem about disaster preparedness. Here are a few examples of poems about preparedness:

Example 1:
The storm clouds gather, dark and deep,
A warning whispered while we sleep.
But we are ready, strong and bold,
A plan in place, a story told.
With water stored and kits in hand,
We face the chaos, make our stand.
Preparedness our guiding light,
To weather darkness, hold on tight.

Example 2:
The earth may shake, the fires may roar,
But fear not, we've prepared before.
A meeting place, a contact list,
Essentials packed, we won't be missed.
From first aid skills to knowing how,
To help our neighbors here and now.
Preparedness a shield so strong,
Protecting us where we belong.

Now, write a new poem about disaster preparedness, focusing on the importance of community and resilience.",good,Create a poem inspired by disaster preparedness,medium,Write a poem about being prepared for disasters.,,"The ideal output would be a poem with a similar structure and tone to the examples provided, but with original content. The poem should emphasize the importance of community involvement and resilience in the face of disasters. It should use evocative language and imagery to convey the message of preparedness in an engaging and memorable way.",['ONE_SHOT_FEW_SHOT'],CREATIVE_WRITING,,65.73,7.6,8.46,10.4,8.0,8.34,7.2857142857142865,7.6,4.04
267,Explain advanced economics.,bad,Create a concise summary of advanced economics,high,,"First, explain the fundamental principles of microeconomics and macroeconomics. Then, building upon that foundation, explain the key concepts and models in advanced microeconomics, including general equilibrium, game theory, information economics, and behavioral economics. Next, explain the key concepts and models in advanced macroeconomics, including economic growth theory, business cycle theory, monetary policy, and fiscal policy. Finally, discuss the interconnections and debates within these advanced topics, and their relevance to current economic issues. Provide examples where possible.","The response should start with a brief overview of basic micro and macro principles. It should then delve into advanced micro topics like general equilibrium (detailing Walrasian equilibrium, Pareto efficiency, and welfare theorems), game theory (Nash equilibrium, Bayesian games), information economics (adverse selection, moral hazard), and behavioral economics (cognitive biases, prospect theory). For advanced macro, it should cover growth theory (Solow model, endogenous growth models), business cycle theory (Keynesian, real business cycle models), monetary policy (Taylor rule, inflation targeting), and fiscal policy (government debt, Ricardian equivalence). The answer should highlight the relationships between these advanced topics and illustrate their application to real-world economic problems like financial crises, inequality, and climate change.",['CONTEXTUAL_PROMPTING'],SUMMARIZATION,,-24.64,17.4,14.53,0.0,19.3,20.83,1.5,14.31,7.0
268,"First, explain the fundamental principles of microeconomics and macroeconomics. Then, building upon that foundation, explain the key concepts and models in advanced microeconomics, including general equilibrium, game theory, information economics, and behavioral economics. Next, explain the key concepts and models in advanced macroeconomics, including economic growth theory, business cycle theory, monetary policy, and fiscal policy. Finally, discuss the interconnections and debates within these advanced topics, and their relevance to current economic issues. Provide examples where possible.",good,Create a concise summary of advanced economics,high,Explain advanced economics.,,"The response should start with a brief overview of basic micro and macro principles. It should then delve into advanced micro topics like general equilibrium (detailing Walrasian equilibrium, Pareto efficiency, and welfare theorems), game theory (Nash equilibrium, Bayesian games), information economics (adverse selection, moral hazard), and behavioral economics (cognitive biases, prospect theory). For advanced macro, it should cover growth theory (Solow model, endogenous growth models), business cycle theory (Keynesian, real business cycle models), monetary policy (Taylor rule, inflation targeting), and fiscal policy (government debt, Ricardian equivalence). The answer should highlight the relationships between these advanced topics and illustrate their application to real-world economic problems like financial crises, inequality, and climate change.",['CONTEXTUAL_PROMPTING'],SUMMARIZATION,,-3.18,17.5,14.5,15.9,18.5,20.52,12.6,10.62,6.26
269,Tell me about world history.,bad,Develop an algorithm to solve world history,medium,,"I want to understand the major turning points in world history and their long-term consequences. Let's start with an example. 

**Example:**

*   **Event:** The Black Death (1346-1353)
*   **Immediate Consequences:** Massive population decline in Europe, labor shortages, social unrest.
*   **Long-Term Consequences:** Decline of feudalism, rise of urban centers, increased value of labor, contributing to the Renaissance.

Now, using the same format, identify and explain another significant turning point in world history, including its immediate and long-term consequences.","The ideal answer would follow the format provided in the one-shot example. It should identify a major historical event (e.g., the French Revolution, the Industrial Revolution, World War I), describe the immediate consequences (e.g., overthrow of the monarchy, technological advancements, widespread death and destruction), and then analyze the long-term consequences (e.g., rise of nationalism, new economic systems, changes in global power dynamics). The answer should demonstrate an understanding of cause and effect and the interconnectedness of historical events.",['ONE_SHOT_FEW_SHOT'],PROGRAMMING_CODE_GENERATION,,66.4,5.2,2.0,0.0,3.7,4.96,2.5,0.25,1.54
270,"I want to understand the major turning points in world history and their long-term consequences. Let's start with an example. 

**Example:**

*   **Event:** The Black Death (1346-1353)
*   **Immediate Consequences:** Massive population decline in Europe, labor shortages, social unrest.
*   **Long-Term Consequences:** Decline of feudalism, rise of urban centers, increased value of labor, contributing to the Renaissance.

Now, using the same format, identify and explain another significant turning point in world history, including its immediate and long-term consequences.",good,Develop an algorithm to solve world history,medium,Tell me about world history.,,"The ideal answer would follow the format provided in the one-shot example. It should identify a major historical event (e.g., the French Revolution, the Industrial Revolution, World War I), describe the immediate consequences (e.g., overthrow of the monarchy, technological advancements, widespread death and destruction), and then analyze the long-term consequences (e.g., rise of nationalism, new economic systems, changes in global power dynamics). The answer should demonstrate an understanding of cause and effect and the interconnectedness of historical events.",['ONE_SHOT_FEW_SHOT'],PROGRAMMING_CODE_GENERATION,,22.41,13.9,11.87,14.6,16.8,16.64,11.8,10.06,5.71
271,Tell me about augmented reality.,bad,Act as an expert in augmented reality and provide insights,medium,,"You are an expert in augmented reality. As an expert, explain the core concepts of augmented reality, including how it differs from virtual reality, and provide three examples of its practical applications in different industries. Focus on explaining the technology in a way that a beginner can understand. Use SYSTEM_PROMPTING and ROLE_PROMPTING techniques.","The response should clearly define augmented reality (AR), contrasting it with virtual reality (VR). It should explain that AR overlays digital information onto the real world, while VR creates a completely immersive digital environment. The answer should provide at least three distinct examples of AR applications across different industries (e.g., retail, healthcare, manufacturing), detailing how AR enhances processes or user experiences in each case. The explanation should be accessible to someone with no prior knowledge of AR.","['ROLE_PROMPTING', 'SYSTEM_PROMPTING']",ROLE_PLAYING,,15.64,12.3,18.0,0.0,7.4,9.6,3.5,10.2,4.98
272,"You are an expert in augmented reality. As an expert, explain the core concepts of augmented reality, including how it differs from virtual reality, and provide three examples of its practical applications in different industries. Focus on explaining the technology in a way that a beginner can understand. Use SYSTEM_PROMPTING and ROLE_PROMPTING techniques.",good,Act as an expert in augmented reality and provide insights,medium,Tell me about augmented reality.,,"The response should clearly define augmented reality (AR), contrasting it with virtual reality (VR). It should explain that AR overlays digital information onto the real world, while VR creates a completely immersive digital environment. The answer should provide at least three distinct examples of AR applications across different industries (e.g., retail, healthcare, manufacturing), detailing how AR enhances processes or user experiences in each case. The explanation should be accessible to someone with no prior knowledge of AR.","['ROLE_PROMPTING', 'SYSTEM_PROMPTING']",ROLE_PLAYING,,32.6,12.0,14.38,14.9,12.4,14.54,10.875,10.25,5.79
